rule_id,source_phase,observation/result,deadline_requirement,candidate_requirement,retained_backup_requirement,runtime_event,runtime_route_lookup_path,destination,commit_flag,test_id,implemented
L1_UNKNOWN_UNRESOLVED,L1,L1_UNKNOWN_UNRESOLVED,ANY,NONE,ANY,L1_UNKNOWN_UNRESOLVED,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-L1_UNKNOWN_UNRESOLVED,yes
P0_PRIMARY,PRIMARY_PROPOSAL,PRIMARY_AVAILABLE,OPEN,PRIMARY,ANY,PRIMARY_AVAILABLE,Supervisor.route_transition->TransitionTable.resolve,C0,false,PC-RULE-P0_PRIMARY,yes
P0_NONE,PRIMARY_PROPOSAL,NO_CANDIDATE,ANY,NONE,ANY,NO_CANDIDATE,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-P0_NONE,yes
C0_PASS,C0,C0_PASS,OPEN,PRIMARY_OR_ALTERNATIVE,ANY,C0_PASS,Supervisor.route_transition->TransitionTable.resolve,L2,false,PC-RULE-C0_PASS,yes
C0_FAIL_LOCAL_ALT,C0,C0_FAIL_LOCAL,OPEN,PRIMARY_OR_ALTERNATIVE,VALID,C0_FAIL_LOCAL,Supervisor.route_transition->TransitionTable.resolve,ALT_SEARCH,false,PC-RULE-C0_FAIL_LOCAL_ALT,yes
C0_FAIL_LOCAL_ARB,C0,C0_FAIL_LOCAL,ANY,PRIMARY_OR_ALTERNATIVE,ANY,C0_FAIL_LOCAL,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-C0_FAIL_LOCAL_ARB,yes
C0_UNKNOWN_LOCAL_ALT,C0,C0_UNKNOWN_LOCAL,OPEN,PRIMARY_OR_ALTERNATIVE,VALID,C0_UNKNOWN_LOCAL,Supervisor.route_transition->TransitionTable.resolve,ALT_SEARCH,false,PC-RULE-C0_UNKNOWN_LOCAL_ALT,yes
C0_UNKNOWN_LOCAL_ARB,C0,C0_UNKNOWN_LOCAL,ANY,PRIMARY_OR_ALTERNATIVE,ANY,C0_UNKNOWN_LOCAL,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-C0_UNKNOWN_LOCAL_ARB,yes
C0_UNKNOWN_GLOBAL,C0,C0_UNKNOWN_GLOBAL,ANY,PRIMARY_OR_ALTERNATIVE,ANY,C0_UNKNOWN_GLOBAL,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-C0_UNKNOWN_GLOBAL,yes
L2_PASS,L2,L2_PASS,OPEN,PRIMARY_OR_ALTERNATIVE,ANY,L2_PASS,Supervisor.route_transition->TransitionTable.resolve,L3,false,PC-RULE-L2_PASS,yes
L2_FAIL_ALT,L2,L2_FAIL,OPEN,PRIMARY_OR_ALTERNATIVE,VALID,L2_FAIL,Supervisor.route_transition->TransitionTable.resolve,ALT_SEARCH,false,PC-RULE-L2_FAIL_ALT,yes
L2_FAIL_ARB,L2,L2_FAIL,ANY,PRIMARY_OR_ALTERNATIVE,ANY,L2_FAIL,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-L2_FAIL_ARB,yes
L2_UNKNOWN_LOCAL_ALT,L2,L2_UNKNOWN_LOCAL,OPEN,PRIMARY_OR_ALTERNATIVE,VALID,L2_UNKNOWN_LOCAL,Supervisor.route_transition->TransitionTable.resolve,ALT_SEARCH,false,PC-RULE-L2_UNKNOWN_LOCAL_ALT,yes
L2_UNKNOWN_LOCAL_ARB,L2,L2_UNKNOWN_LOCAL,ANY,PRIMARY_OR_ALTERNATIVE,ANY,L2_UNKNOWN_LOCAL,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-L2_UNKNOWN_LOCAL_ARB,yes
L2_UNKNOWN_GLOBAL,L2,L2_UNKNOWN_GLOBAL,ANY,PRIMARY_OR_ALTERNATIVE,ANY,L2_UNKNOWN_GLOBAL,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-L2_UNKNOWN_GLOBAL,yes
L3_FOUND,L3,L3_WITNESS_FOUND,OPEN,PRIMARY_OR_ALTERNATIVE,ANY,L3_WITNESS_FOUND,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-L3_FOUND,yes
L3_ABSENT_ALT,L3,L3_WITNESS_ABSENT,OPEN,PRIMARY_OR_ALTERNATIVE,VALID,L3_WITNESS_ABSENT,Supervisor.route_transition->TransitionTable.resolve,ALT_SEARCH,false,PC-RULE-L3_ABSENT_ALT,yes
L3_ABSENT_ARB,L3,L3_WITNESS_ABSENT,ANY,PRIMARY_OR_ALTERNATIVE,ANY,L3_WITNESS_ABSENT,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-L3_ABSENT_ARB,yes
L3_UNKNOWN_LOCAL_ALT,L3,L3_UNKNOWN_LOCAL,OPEN,PRIMARY_OR_ALTERNATIVE,VALID,L3_UNKNOWN_LOCAL,Supervisor.route_transition->TransitionTable.resolve,ALT_SEARCH,false,PC-RULE-L3_UNKNOWN_LOCAL_ALT,yes
L3_UNKNOWN_LOCAL_ARB,L3,L3_UNKNOWN_LOCAL,ANY,PRIMARY_OR_ALTERNATIVE,ANY,L3_UNKNOWN_LOCAL,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-L3_UNKNOWN_LOCAL_ARB,yes
L3_UNKNOWN_GLOBAL,L3,L3_UNKNOWN_GLOBAL,ANY,PRIMARY_OR_ALTERNATIVE,ANY,L3_UNKNOWN_GLOBAL,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-L3_UNKNOWN_GLOBAL,yes
ALT_NEXT,ALT_SEARCH,ALT_AVAILABLE,OPEN,ALTERNATIVE,VALID,ALT_AVAILABLE,Supervisor.route_transition->TransitionTable.resolve,C0,false,PC-RULE-ALT_NEXT,yes
ALT_DONE,ALT_SEARCH,ALT_EXHAUSTED,ANY,NONE,ANY,ALT_EXHAUSTED,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-ALT_DONE,yes
ALT_GUARD,ALT_SEARCH,DEADLINE_GUARD,GUARD_OR_EXPIRED,NONE,ANY,DEADLINE_GUARD,Supervisor.route_transition->TransitionTable.resolve,ARBITRATION,false,PC-RULE-ALT_GUARD,yes
ARB_NAV,ARBITRATION,ARBITRATE,OPEN,PRIMARY_OR_ALTERNATIVE,ANY,ARBITRATE,Supervisor.route_transition->TransitionTable.resolve,COMMIT,true,PC-RULE-ARB_NAV,yes
ARB_BACKUP,ARBITRATION,ARBITRATE,ANY,NONE,VALID,ARBITRATE,Supervisor.route_transition->TransitionTable.resolve,BACKUP_EXECUTION,false,PC-RULE-ARB_BACKUP,yes
ARB_TERMINAL,ARBITRATION,ARBITRATE,ANY,NONE,NONE_OR_INVALID_OR_EXHAUSTED,ARBITRATE,Supervisor.route_transition->TransitionTable.resolve,COMMIT,true,PC-RULE-ARB_TERMINAL,yes
ARB_EVAL_TERMINAL,ARBITRATION,ARBITRATE,OPEN,NONE,NONE_OR_INVALID_OR_EXHAUSTED,ARBITRATE,Supervisor.route_transition->TransitionTable.resolve,TERMINAL_EVALUATION,false,PC-RULE-ARB_EVAL_TERMINAL,yes
ARB_BOUNDARY,ARBITRATION,ARBITRATE,ANY,NONE,NONE_OR_INVALID_OR_EXHAUSTED,ARBITRATE,Supervisor.route_transition->TransitionTable.resolve,ASSURANCE_BOUNDARY,false,PC-RULE-ARB_BOUNDARY,yes
BACKUP_COMMIT,BACKUP_EXECUTION,EXECUTE_RETAINED_BACKUP,ANY,NONE,VALID,EXECUTE_RETAINED_BACKUP,Supervisor.route_transition->TransitionTable.resolve,COMMIT,true,PC-RULE-BACKUP_COMMIT,yes
TERM_ELIGIBLE,TERMINAL_EVALUATION,TERMINAL_MEMBER_ELIGIBLE,OPEN,NONE,NONE_OR_INVALID_OR_EXHAUSTED,TERMINAL_MEMBER_ELIGIBLE,Supervisor.route_transition->TransitionTable.resolve,COMMIT,true,PC-RULE-TERM_ELIGIBLE,yes
TERM_NOT_ELIGIBLE,TERMINAL_EVALUATION,TERMINAL_MEMBER_NOT_ELIGIBLE,OPEN,NONE,NONE_OR_INVALID_OR_EXHAUSTED,TERMINAL_MEMBER_NOT_ELIGIBLE,Supervisor.route_transition->TransitionTable.resolve,ASSURANCE_BOUNDARY,false,PC-RULE-TERM_NOT_ELIGIBLE,yes
TERM_UNKNOWN,TERMINAL_EVALUATION,TERMINAL_UNKNOWN,OPEN,NONE,NONE_OR_INVALID_OR_EXHAUSTED,TERMINAL_UNKNOWN,Supervisor.route_transition->TransitionTable.resolve,ASSURANCE_BOUNDARY,false,PC-RULE-TERM_UNKNOWN,yes
