evidence_class,S0_current_position,S1_end_position,S2_end_position,S3_end_position_zero_hold,dp_tau_du_max_abs,environment,p_next_formula_max_abs_error,p_tau_control_independence_max_abs_error,shadow_definition,state_id,v_next_formula_max_abs_error
E2_SHADOW_DIAGNOSTIC,"[2.308898091316223, 2.925234794616699, -0.6090812385082245]","[2.3092580014785, 2.925234794616699, -0.6040942088637277]","[2.3098499159045844, 2.925234794616699, -0.5991065313978597]","[2.310441830330669, 2.925234794616699, -0.5941188539319918]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.6565583944320679, 2.925234794616699, 0.6086075305938721]","[-0.6554287613611713, 2.925234794616699, 0.6091427213310273]","[-0.654105609967866, 2.925234794616699, 0.6099011524242891]","[-0.6527824585745607, 2.925234794616699, 0.6106595835175509]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,0.0
E2_SHADOW_DIAGNOSTIC,"[0.31934700906276703, 0.12523484230041504, 2.3388333916664124]","[0.31724060384241765, 0.12523484230041504, 2.3401798897346193]","[0.3149895189032955, 0.12523484230231324, 2.3417090628287034]","[0.3127384339641734, 0.12523484230421145, 2.3432382359227875]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,18437ce3de5c711fae787001a565271d8ecfeeca74866ca2d0b6528537d04b1a,0.0
E2_SHADOW_DIAGNOSTIC,"[2.320279598236084, 2.925234794616699, -0.9045239388942719]","[2.320279598236084, 2.925234794616699, -0.9045239388942719]","[2.3200297356625383, 2.925234794616699, -0.9047738014678174]","[2.3197798730889927, 2.925234794616699, -0.9050236640413629]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,18dedde110ff0022e2bbafe7e5de5fd783c0177fca853e229ad9b409122e5feb,0.0
E2_SHADOW_DIAGNOSTIC,"[4.0898131132125854, 0.12523484230041504, -0.12253284454345703]","[4.0898131132125854, 0.12523484230041504, -0.12253284454345703]","[4.08956325063904, 0.12523484230041504, -0.12278270711700254]","[4.089313388065495, 0.12523484230041504, -0.12303256969054804]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,1ab9bff8b0aedb780f43ffc4b307d88a410cad36aa000e68784a86e995618db8,0.0
E2_SHADOW_DIAGNOSTIC,"[3.4841988682746887, 0.12523484230041504, -0.8104178346693516]","[3.4841988682746887, 0.12523484230041504, -0.8104178346693516]","[3.483949005701143, 0.12523484230041504, -0.8106676972428971]","[3.4836991431275974, 0.12523484230041504, -0.8109175598164426]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,1b47d079ce1fdb039c02ee650d45faf683d1f0c02d701e68e9ce04f3f02032b4,0.0
E2_SHADOW_DIAGNOSTIC,"[2.9139232635498047, 2.925234794616699, 2.24300479888916]","[2.9139232635498047, 2.925234794616699, 2.24300479888916]","[2.9141731261233503, 2.925234794616699, 2.243254661462706]","[2.914422988696896, 2.925234794616699, 2.2435045240362514]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,1c0b9b0faf9393a40d91912a7ecd9116c9d392161ea9fbf6bdf3ae85e0a4a305,0.0
E2_SHADOW_DIAGNOSTIC,"[1.5419844388961792, 0.12523484230041504, -1.6618530750274658]","[1.5439070632794045, 0.12523484230041504, -1.6634510473304258]","[1.545983556437411, 0.12523484230069212, -1.665219121019379]","[1.5480600495954173, 0.1252348423009692, -1.6669871947083321]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,1cb740911c602d0d9f80ff7185098eb639040f83b9c62124196e3a616f6c0daa,0.0
E2_SHADOW_DIAGNOSTIC,"[2.910740852355957, 0.12523484230041504, 2.9560306072235107]","[2.913499327121229, 0.12523484230041504, 2.9518603773774044]","[2.916369878149129, 0.12523484230065368, 2.947648659030287]","[2.919240429177029, 0.12523484230089232, 2.9434369406831693]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,1e3a8db5cf56d8657520e12aa8a311440dd3d323f43e579c810f2f48f60b1f71,0.0
E2_SHADOW_DIAGNOSTIC,"[2.333385407924652, 2.925234794616699, -0.26977719366550446]","[2.333385407924652, 2.925234794616699, -0.26977719366550446]","[2.3336352704981977, 2.925234794616699, -0.2695273310919589]","[2.3338851330717434, 2.925234794616699, -0.2692774685184134]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,1f0c533c1236c8c97be6c7a76973ba2546749a4ca9297e8e5b7ffb80d7f1bc84,0.0
E2_SHADOW_DIAGNOSTIC,"[0.09646345674991608, 2.925234794616699, 1.377356767654419]","[0.09646345674991608, 2.925234794616699, 1.377356767654419]","[0.09621359417637057, 2.925234794616699, 1.3771069050808735]","[0.09596373160282506, 2.925234794616699, 1.376857042507328]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,1f5ecb8605c1df18e88b1c245ab84bafd839d6122148ab528c2b7deab1dc9b6b,0.0
E2_SHADOW_DIAGNOSTIC,"[2.369254231452942, 2.925234794616699, -0.2259158492088318]","[2.369157993918185, 2.925234794616699, -0.22341770222818713]","[2.3689242995285777, 2.925234794616699, -0.2207944627015353]","[2.3686906051389705, 2.925234794616699, -0.21817122317488347]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,1f9cbbe192ea4ef9acc65f459259fd452230124102140cbb868bbdd6fae03712,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.32530006766319275, 2.925234794616699, 0.8025947138667107]","[-0.32341689653568895, 2.925234794616699, 0.8009504308909015]","[-0.3213778839664271, 2.925234794616699, 0.7991383620663399]","[-0.3193388713971652, 2.925234794616699, 0.7973262932417784]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,204bf2b567d88f8e931cfe6bec4e7c00686259e0c3ee261eba2d37598286a280,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.12014234066009521, 2.925234794616699, 0.8627474904060364]","[-0.11675344144740553, 2.925234794616699, 0.8643530626175022]","[-0.11328398719770931, 2.925234794616699, 0.8661283562069795]","[-0.10981453294801309, 2.925234794616699, 0.8679036497964567]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,21762d6d6a7f8ee822b1fc7c0ab62680934b41ce005493f9d92edff6e349ce03,0.0
E2_SHADOW_DIAGNOSTIC,"[1.1486784219741821, 0.12523484230041504, 0.6198881715536118]","[1.1461808930376356, 0.12523484230041504, 0.6199992985580379]","[1.1435582405492597, 0.12523484230041504, 0.6203548690539502]","[1.1409355880608838, 0.12523484230041504, 0.6207104395498625]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,0.0
E2_SHADOW_DIAGNOSTIC,"[1.108504295349121, 0.12523484230041504, 1.834372639656067]","[1.107823226200072, 0.12523484230041504, 1.8354208022456557]","[1.1069262105162812, 0.1252348422959185, 1.8366665567035427]","[1.1060291948324903, 0.12523484229142196, 1.8379123111614297]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,22729b41d07f36ef7c2897a21d8d89d3c7b2abb21f5249b5a721a1dfce0f7e0a,0.0
E2_SHADOW_DIAGNOSTIC,"[0.9492912963032722, 0.12523484230041504, 1.9389313161373138]","[0.9451119618029504, 0.12523484230041504, 1.941675976978733]","[0.9408915940286263, 0.1252348422978664, 1.944533404745547]","[0.9366712262543022, 0.12523484229531778, 1.9473908325123608]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,22a6fc41ce4db8d437f1cfbb962471b280dc2d651916775c2250a645c8546915,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.06336015462875366, 2.925234794616699, 1.05478036403656]","[-0.06336015462875366, 2.925234794616699, 1.05478036403656]","[-0.06311029205520813, 2.925234794616699, 1.0550302266101055]","[-0.0628604294816626, 2.925234794616699, 1.055280089183651]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,235e1bb5094b3e24617a36b9db8b226891327b847618ba7632b3dfe1e67ead91,0.0
E2_SHADOW_DIAGNOSTIC,"[0.5582714676856995, 2.925234794616699, 0.7475411891937256]","[0.5578229048239035, 2.925234794616699, 0.7487079331069376]","[0.5571467703497477, 2.925234794616699, 0.7500663397860259]","[0.5564706358755919, 2.925234794616699, 0.7514247464651141]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,241d4b8b592a08407d1f663e2e0439e35140b1b8356e32ca03083b8da5f7e9bb,0.0
E2_SHADOW_DIAGNOSTIC,"[1.1943452209234238, 2.925234794616699, 1.6375038027763367]","[1.198561476926402, 2.925234794616699, 1.6401914012056693]","[1.202816920126764, 2.9252347946160913, 1.642994619706173]","[1.207072363327126, 2.9252347946154833, 1.645797838206677]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,274a5a83db528364efc054111e3a2be386dd22d2d5d7303088c67a50d6b04b8f,0.0
E2_SHADOW_DIAGNOSTIC,"[-1.8436552584171295, 0.19184303283691406, 4.425761699676514]","[-1.844376882274539, 0.19201981331833948, 4.428148749669665]","[-1.8453124247981647, 0.19243775313109718, 4.430666447137044]","[-1.8462479673217904, 0.19285569294385488, 4.433184144604423]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,274cfe4d06a4bba970b364b3ced72c1758f65f383a4ff23eecf36593964775dd,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.2606537900865078, 2.925234794616699, 0.04324399679899216]","[-0.2652788283172494, 2.925234794616699, 0.0451437392457934]","[-0.2699226146357177, 2.925234794616699, 0.04719849456646674]","[-0.274566400954186, 2.925234794616699, 0.04925324988714008]",0.0,E1_REPLICA_GT_FINE,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,284cffa5c7386cbcb13718924fef577ac22e98e0a3cc1d74a6c3f333d125aca5,0.0
E2_SHADOW_DIAGNOSTIC,"[0.312, -0.030000000000000096, 0.049999999999999975]","[0.312, -0.030000000000000096, 0.049999999999999975]","[0.312, -0.030000000000000096, 0.049999999999999975]","[0.312, -0.030000000000000096, 0.049999999999999975]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,0134302ab41076889b51193a28030c4b4c593c7d49d324db7384fadf8e4292c7,0.0
E2_SHADOW_DIAGNOSTIC,"[0.12667238330331693, 0.3030923685402096, 0.04333230999483709]","[0.12667238330331693, 0.3030923685402096, 0.04333230999483709]","[0.12667238330331693, 0.3030923685402096, 0.04333230999483709]","[0.12667238330331693, 0.3030923685402096, 0.04333230999483709]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,04064bec00d45d558ae52ec3b1ab673505dd7df8e23062cb792b4e5a0fc2403d,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.036551425638803745, -0.4195846780688116, 0.04104006225708665]","[-0.036551425638803745, -0.4195846780688116, 0.04104006225708665]","[-0.036551425638803745, -0.4195846780688116, 0.04104006225708665]","[-0.036551425638803745, -0.4195846780688116, 0.04104006225708665]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,05a9e9b395bb7c2e10574895b494e9e50c644712cd2ab1299f0e2779d8487a1a,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.4028812199204944, 0.19228746663420618, 0.052511479871810776]","[-0.4028812199204944, 0.19228746663420618, 0.052511479871810776]","[-0.4028812199204944, 0.19228746663420618, 0.052511479871810776]","[-0.4028812199204944, 0.19228746663420618, 0.052511479871810776]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,065ccf3dc76d0069d660b8edf46e507c115799568da9d9ad3e9edab220dc4a2b,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.40288121992049447, -0.2522874666342061, 0.04748852012818921]","[-0.40288121992049447, -0.2522874666342061, 0.04748852012818921]","[-0.40288121992049447, -0.2522874666342061, 0.04748852012818921]","[-0.40288121992049447, -0.2522874666342061, 0.04748852012818921]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,09472ebc63bedd15e2296b7fc3e573f29430b68dd46cf1de5a6edea99dedc6bf,0.0
E2_SHADOW_DIAGNOSTIC,"[0.23566594095217502, -0.26241990818941896, 0.049365760803434355]","[0.23566594095217502, -0.26241990818941896, 0.049365760803434355]","[0.23566594095217502, -0.26241990818941896, 0.049365760803434355]","[0.23566594095217502, -0.26241990818941896, 0.049365760803434355]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,0b90fd0f638a4595adf145ced7e3d338f215e7736437cc62d7fe98a588e95b21,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.061347888997093064, 0.36155599695973917, 0.054582265217274106]","[-0.061347888997093064, 0.36155599695973917, 0.054582265217274106]","[-0.061347888997093064, 0.36155599695973917, 0.054582265217274106]","[-0.061347888997093064, 0.36155599695973917, 0.054582265217274106]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,0d858158bd5fe799ce2a64711e6bab8ab455e20123047c69ef13c8d2f6b13cb4,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.1844577349664936, -0.4078261261554973, 0.05429794912089177]","[-0.1844577349664936, -0.4078261261554973, 0.05429794912089177]","[-0.1844577349664936, -0.4078261261554973, 0.05429794912089177]","[-0.1844577349664936, -0.4078261261554973, 0.05429794912089177]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,1101555f9fce4f795ffe0e826b025d9fed439a1a83e9e7c7d7a748e22a44b50e,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.18445773496649376, 0.34782612615549735, 0.04570205087910828]","[-0.18445773496649376, 0.34782612615549735, 0.04570205087910828]","[-0.18445773496649376, 0.34782612615549735, 0.04570205087910828]","[-0.18445773496649376, 0.34782612615549735, 0.04570205087910828]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,12680aa8e57e77f07ce02945688cfcbfa27e0d364efbdfbbf25027649e693063,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.1602842138815547, -0.41369055891619333, 0.05881453363447582]","[-0.1602842138815547, -0.41369055891619333, 0.05881453363447582]","[-0.1602842138815547, -0.41369055891619333, 0.05881453363447582]","[-0.1602842138815547, -0.41369055891619333, 0.05881453363447582]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,18b57d334b373ccb3813d95216cf27c2317d73517b2fe189c8859c2382203d63,0.0
E2_SHADOW_DIAGNOSTIC,"[0.29943589094737166, -0.12845001097498313, 0.0443294013613723]","[0.29943589094737166, -0.12845001097498313, 0.0443294013613723]","[0.29943589094737166, -0.12845001097498313, 0.0443294013613723]","[0.29943589094737166, -0.12845001097498313, 0.0443294013613723]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,1c881c67b31fe8bbe272c089b8ca97a57ff7b87108a0137e98657bfd217fca0b,0.0
E2_SHADOW_DIAGNOSTIC,"[0.12667238330331693, -0.36309236854020965, 0.05666769000516292]","[0.12667238330331693, -0.36309236854020965, 0.05666769000516292]","[0.12667238330331693, -0.36309236854020965, 0.05666769000516292]","[0.12667238330331693, -0.36309236854020965, 0.05666769000516292]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,22a6245662231278eba445286d6dd129447860bcbe2d184bbea5b9564fac526c,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.2540741121414634, -0.3812295595222037, 0.040061615355387464]","[-0.2540741121414634, -0.3812295595222037, 0.040061615355387464]","[-0.2540741121414634, -0.3812295595222037, 0.040061615355387464]","[-0.2540741121414634, -0.3812295595222037, 0.040061615355387464]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,24fd31d3054097eae6b1e972550278f895095a40321f77a25cbd7d6770c715bb,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.416329497988111, -0.23136153749677532, 0.04223853535708243]","[-0.416329497988111, -0.23136153749677532, 0.04223853535708243]","[-0.416329497988111, -0.23136153749677532, 0.04223853535708243]","[-0.416329497988111, -0.23136153749677532, 0.04223853535708243]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,2a728f39f8e92f814cdb8b1403095b107ea880f2d89b1a0eb3f7baf49a53628b,0.0
E2_SHADOW_DIAGNOSTIC,"[0.3112107771769787, -0.005137823494626711, 0.055929079290546406]","[0.3112107771769787, -0.005137823494626711, 0.055929079290546406]","[0.3112107771769787, -0.005137823494626711, 0.055929079290546406]","[0.3112107771769787, -0.005137823494626711, 0.055929079290546406]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,2e3d48baf1265ee26352b4abbe25460e417a7ea161ee4950fe118d17f9193205,0.0
E2_SHADOW_DIAGNOSTIC,"[-0.11106598308786111, 0.3607670721731614, 0.04287305828621135]","[-0.11106598308786111, 0.3607670721731614, 0.04287305828621135]","[-0.11106598308786111, 0.3607670721731614, 0.04287305828621135]","[-0.11106598308786111, 0.3607670721731614, 0.04287305828621135]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,31a4d33620a77352190d0accd58a0c800b4e525862c8d7ba91a5f43ff4fb881b,0.0
E2_SHADOW_DIAGNOSTIC,"[0.3112107771769787, -0.05486217650537329, 0.04407092070945363]","[0.3112107771769787, -0.05486217650537329, 0.04407092070945363]","[0.3112107771769787, -0.05486217650537329, 0.04407092070945363]","[0.3112107771769787, -0.05486217650537329, 0.04407092070945363]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,346c2334d2d03b7b245a40a87ffc5d785547d36afac94c811e06bcb61773d857,0.0
E2_SHADOW_DIAGNOSTIC,"[0.24977138486982303, -0.2419312004425942, 0.055406408174555985]","[0.24977138486982303, -0.2419312004425942, 0.055406408174555985]","[0.24977138486982303, -0.2419312004425942, 0.055406408174555985]","[0.24977138486982303, -0.2419312004425942, 0.055406408174555985]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,352c7f5f48f590fca9a7d5068226a9cde0a49ad2c23a06dac8a09558b4f4f885,0.0
E2_SHADOW_DIAGNOSTIC,"[0.16717664549713285, 0.2742494140023687, 0.05513677391573406]","[0.16717664549713285, 0.2742494140023687, 0.05513677391573406]","[0.16717664549713285, 0.2742494140023687, 0.05513677391573406]","[0.16717664549713285, 0.2742494140023687, 0.05513677391573406]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,3790da6b1aed9c99b4c67c2d2c4ab37af16c1cc254d4c4be0956d958c295dd6a,0.0
E2_SHADOW_DIAGNOSTIC,"[0.27394720300835546, -0.1984796055389554, 0.059638421585599434]","[0.27394720300835546, -0.1984796055389554, 0.059638421585599434]","[0.27394720300835546, -0.1984796055389554, 0.059638421585599434]","[0.27394720300835546, -0.1984796055389554, 0.059638421585599434]",0.0,E5_STONEHENGE_SAFER,0.0,0.0,S0 current; S1 immediate p+dt*v; S2 next candidate-affected segment; S3 next zero-hold segment.,38b33526102f26cb985a944f9605898e443c349c2c238de81d799dfcc3e6c41b,0.0
