execution_rank,trial_id,analysis_cohort,arm_1,arm_2,development_exposure,included_in_primary_85,included_in_all100_secondary
45,43,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
46,47,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
47,85,DEVELOPMENT_EXPOSED_SECONDARY,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,ACTIVE_RUNTIME_PILOT_OR_DIAGNOSIS,False,True
48,51,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
49,69,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
50,59,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
51,63,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
52,42,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
53,13,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
54,65,DEVELOPMENT_EXPOSED_SECONDARY,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,ACTIVE_RUNTIME_PILOT_OR_DIAGNOSIS,False,True
55,4,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
56,93,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
57,39,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
58,49,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
59,97,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
60,60,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
61,83,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
62,36,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
63,67,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
64,30,DEVELOPMENT_EXPOSED_SECONDARY,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,PR99_LOGGING_PILOT,False,True
65,86,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
66,35,DEVELOPMENT_EXPOSED_SECONDARY,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,ACTIVE_RUNTIME_PILOT_OR_DIAGNOSIS,False,True
67,3,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
68,81,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
69,87,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
70,71,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
71,20,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
72,53,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
73,7,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
74,58,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
75,40,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
76,70,DEVELOPMENT_EXPOSED_SECONDARY,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,PR99_LOGGING_PILOT,False,True
77,89,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
78,94,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
79,68,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
80,75,DEVELOPMENT_EXPOSED_SECONDARY,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,ACTIVE_RUNTIME_PILOT_OR_DIAGNOSIS,False,True
81,15,DEVELOPMENT_EXPOSED_SECONDARY,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,ACTIVE_RUNTIME_PILOT_OR_DIAGNOSIS,False,True
82,48,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
83,55,DEVELOPMENT_EXPOSED_SECONDARY,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,ACTIVE_RUNTIME_PILOT_OR_DIAGNOSIS,False,True
84,95,DEVELOPMENT_EXPOSED_SECONDARY,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,ACTIVE_RUNTIME_PILOT_OR_DIAGNOSIS,False,True
85,92,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
86,34,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
87,72,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
88,17,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
89,32,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
90,62,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
91,41,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
92,52,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
93,64,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
94,22,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
95,84,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
96,11,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
97,57,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
98,1,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
99,46,PRIMARY_FORMAL,REFERENCE_CBF_QP,ACTIVE_RUNTIME_V2,,True,True
100,77,PRIMARY_FORMAL,ACTIVE_RUNTIME_V2,REFERENCE_CBF_QP,,True,True
