frame_index,timestamp,group,no_hit_tail_pixel_count,confidence_0,confidence_1,confidence_2
116,653453.204,11,1242,1154,88,0
117,653453.404,11,509,509,0,0
118,653453.804,11,823,823,0,0
119,653454.004,11,500,447,53,0
120,653454.204,12,1180,971,209,0
121,653454.404,12,82,82,0,0
122,653454.504,12,39,39,0,0
123,653454.604,12,0,0,0,0
124,653454.804,12,0,0,0,0
125,653455.004,12,0,0,0,0
126,653455.204,12,0,0,0,0
127,653455.403,12,0,0,0,0
128,653455.603,12,0,0,0,0
129,653455.903,12,0,0,0,0
130,653456.103,12,0,0,0,0
131,653456.303,12,0,0,0,0
132,653456.503,12,1,1,0,0
133,653456.703,12,101,100,1,0
134,653457.003,12,432,432,0,0
135,653457.203,12,327,60,146,121
136,653457.403,12,233,166,67,0
137,653457.603,12,700,678,22,0
138,653457.902,12,956,956,0,0
139,653458.502,12,626,626,0,0
140,653458.702,12,894,892,2,0
141,653458.902,12,824,824,0,0
142,653459.102,12,201,201,0,0
143,653459.302,12,139,139,0,0
144,653459.602,12,0,0,0,0
145,653459.902,12,0,0,0,0
146,653460.202,12,0,0,0,0
147,653460.401,12,0,0,0,0
148,653460.701,12,0,0,0,0
149,653460.901,12,0,0,0,0
150,653461.101,12,0,0,0,0
151,653461.301,12,0,0,0,0
152,653461.401,12,0,0,0,0
153,653461.601,12,0,0,0,0
154,653461.801,12,0,0,0,0
155,653462.001,12,0,0,0,0
156,653462.201,12,0,0,0,0
157,653462.401,12,0,0,0,0
158,653462.601,12,55,55,0,0
159,653462.800,12,0,0,0,0
160,653463.000,12,0,0,0,0
161,653463.200,12,0,0,0,0
162,653463.500,12,0,0,0,0
163,653463.700,12,0,0,0,0
164,653463.900,12,1181,1181,0,0
165,653464.100,12,1373,1373,0,0
166,653464.300,12,119,119,0,0
167,653464.500,12,0,0,0,0
168,653464.700,12,0,0,0,0
169,653464.900,12,0,0,0,0
170,653465.200,12,0,0,0,0
171,653465.499,12,0,0,0,0
172,653465.699,12,126,126,0,0
173,653465.799,12,630,630,0,0
174,653465.899,12,3456,3439,17,0
175,653466.099,12,1305,1278,27,0
176,653466.299,12,584,572,12,0
177,653466.499,12,1017,1017,0,0
178,653466.699,12,887,887,0,0
179,653467.299,12,1537,1537,0,0
180,653467.499,12,2449,2435,14,0
181,653467.599,12,725,725,0,0
182,653467.698,12,3374,3374,0,0
183,653467.798,12,2928,2799,129,0
184,653467.898,12,707,707,0,0
185,653467.998,12,111,111,0,0
186,653468.198,12,0,0,0,0
187,653468.398,12,0,0,0,0
188,653468.898,12,0,0,0,0
189,653469.098,12,30,30,0,0
190,653469.298,12,52,52,0,0
191,653469.498,12,549,549,0,0
192,653469.698,12,499,499,0,0
193,653469.998,12,49,49,0,0
194,653470.297,12,46,46,0,0
195,653470.597,12,3,3,0,0
196,653470.897,12,0,0,0,0
197,653471.197,12,0,0,0,0
198,653471.597,12,0,0,0,0
199,653471.897,12,0,0,0,0
200,653472.097,12,0,0,0,0
201,653472.297,12,0,0,0,0
202,653472.497,12,0,0,0,0
203,653472.696,12,0,0,0,0
204,653472.896,12,0,0,0,0
205,653473.096,12,0,0,0,0
206,653473.296,12,0,0,0,0
207,653473.496,12,0,0,0,0
208,653473.696,12,0,0,0,0
209,653473.896,12,0,0,0,0
210,653474.296,12,0,0,0,0
211,653474.596,12,0,0,0,0
212,653474.896,12,0,0,0,0
213,653475.195,12,0,0,0,0
