environment,cohort,ordinal,state_id,position_m,velocity_m_per_s,goal_m,source_type,failure_stratum
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,12,a8f4ae301144c24c65db575a71aa847e1e70670021207cc9b3720481301d602b,"[-0.07523163408041,0.12523484230041504,2.591063767671585]","[-0.0,0.0,0.0]","[-0.46981027722358704,0.12523484230041504,2.843294143676758]",ROUTE_EDGE,
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,13,bd6f2c0ec4551cc7f126735aa9723fe1eac4bd169699cc3d769304e66d61f373,"[-0.4094833433628082,0.12523484230041504,-0.4179464280605316]","[0.01758543900854104,0.0,0.017769421343332575]","[0.6400046348571777,0.12523484230041504,0.6425215005874634]",ROUTE_NODE,
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,14,c6d7f046df0f18347dd70eca0cf02afdecd35da91985a24a737060541ed29dc1,"[0.4269052557647228,2.925234794616699,0.46357693895697594]","[0.07432529624852931,0.0,0.06690104885252814]","[0.6056040525436401,2.925234794616699,0.6244257688522339]",ROUTE_EDGE,
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,15,d73848087c18733f887bb72089596f171895084cef467e8b437e68281bc48ce2,"[4.135650396347046,0.12523484230041504,0.14742833375930786]","[-0.016739630871121704,0.0,-0.09858896874548688]","[4.043975830078125,0.12523484230041504,-0.3924940228462219]",ROUTE_EDGE,
E1_REPLICA_GT_FINE,C0_METHOD_INDEPENDENT,16,e8e29ada3d95a190f9c2b4a8f1e2d8c5758a16280e32bd58c1428e26a1fd590e,"[1.6604167222976685,2.925234794616699,2.99477219581604]","[0.015145491904902773,0.0,-0.09884641660150623]","[1.8084056377410889,2.925234794616699,2.028928756713867]",ROUTE_EDGE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,1,0134302ab41076889b51193a28030c4b4c593c7d49d324db7384fadf8e4292c7,"[0.312,-0.030000000000000096,0.049999999999999975]","[0.0,0.0,0.0]","[-0.47200000000000003,-0.029999999999999853,0.049999999999999996]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,2,0d858158bd5fe799ce2a64711e6bab8ab455e20123047c69ef13c8d2f6b13cb4,"[-0.061347888997093064,0.36155599695973917,0.054582265217274106]","[0.0,0.0,0.0]","[-0.09865211100290716,-0.4215559969597391,0.0454177347827259]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,3,24fd31d3054097eae6b1e972550278f895095a40321f77a25cbd7d6770c715bb,"[-0.2540741121414634,-0.3812295595222037,0.040061615355387464]","[0.0,0.0,0.0]","[0.09407411214146345,0.32122955952220367,0.05993838464461254]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,4,3790da6b1aed9c99b4c67c2d2c4ab37af16c1cc254d4c4be0956d958c295dd6a,"[0.16717664549713285,0.2742494140023687,0.05513677391573406]","[0.0,0.0,0.0]","[-0.32717664549713277,-0.33424941400236874,0.04486322608426595]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,5,4973ebd65bf5c9a2830199a51b00a460ac220c12e85a32b7bb8c8a218905d204,"[-0.2971366650355152,0.2963673830168304,0.05400930535406616]","[0.0,0.0,0.0]","[0.1371366650355152,-0.35636738301683035,0.04599069464593385]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,6,5da504b0103fee60d127a07e33fbd66c35003cf0f794b1b85f5f85bdff77a22e,"[0.3049160493269811,-0.10418648778928062,0.04054999181285331]","[0.0,0.0,0.0]","[-0.4649160493269811,0.04418648778928068,0.0594500081871467]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,7,66b96dd60a486e146063604cbd2437835c0906ae0e45bd5225776373ea397239,"[-0.13578741660312782,-0.4180100052173257,0.059898214418809326]","[0.0,0.0,0.0]","[-0.024212583396872135,0.3580100052173256,0.04010178558119068]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,8,75a53b499543bafed813ae1b2b68707ea89364c9720b58322c9c81e29c4edfc2,"[-0.16028421388155478,0.3536905589161933,0.04118546636552419]","[0.0,0.0,0.0]","[0.00028421388155489,-0.4136905589161932,0.05881453363447582]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,9,7bf19d5bbfa9b11b25d33a1488c8d741f5c7b42e389d03887b637c5f439a8d61,"[0.059899398864013784,0.33618596122392186,0.04513803263899531]","[0.0,0.0,0.0]","[-0.21989939886401383,-0.3961859612239218,0.054861967361004696]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,10,92d4018f4207a8e04cfdc88776b8912616bb8285b2bda14b3d04d801509cd29c,"[-0.2082106416204294,-0.40044032093615,0.04810748755639587]","[0.0,0.0,0.0]","[0.048210641620429415,0.34044032093614995,0.05189251244360417]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,11,9fde748565a802e20233a4a4cf474ae35598a89615e54e26b3c8a9d8a07bb7f8,"[-0.35497815598087795,-0.30937611518051433,0.059968547759519424]","[0.0,0.0,0.0]","[0.1949781559808781,0.24937611518051409,0.04003145224048058]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,12,a93d4dc4b77937f7a3422793985a95608837e395e4d2078c2d49cbaac178da17,"[-0.4670760443611466,0.03193654722155316,0.040001258723261254]","[0.0,0.0,0.0]","[0.30707604436114655,-0.09193654722155337,0.05999874127673875]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,13,b435290d116daca26befc618363be29641516a2b207deb644ad58dcdf8fd6cc5,"[0.1473823085519096,-0.3493137732037317,0.05095056043304182]","[0.0,0.0,0.0]","[-0.30738230855190957,0.28931377320373175,0.04904943956695822]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,14,c80c96703f9599fb122064c02fd8701a59be7be43057c365ce2cd8b305134bce,"[-0.4391145153133713,0.12716476987939254,0.058325698546347705]","[0.0,0.0,0.0]","[0.2791145153133714,-0.18716476987939243,0.04167430145365229]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,15,cfff2de3165cf09c51f00709950dbd6702292c8a11b14670cbce346770123f3b,"[0.304916049326981,0.044186487789280804,0.059450008187146686]","[0.0,0.0,0.0]","[-0.46491604932698105,-0.10418648778928083,0.04054999181285332]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C0_METHOD_INDEPENDENT,16,efbd89b2a73b40006872adbb2b2fc0650e3ee99cc9409721d515c60200eea070,"[-0.03655142563880365,0.35958467806881167,0.05895993774291337]","[0.0,0.0,0.0]","[-0.12344857436119641,-0.4195846780688116,0.04104006225708664]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,1,0134302ab41076889b51193a28030c4b4c593c7d49d324db7384fadf8e4292c7,"[0.312,-0.030000000000000096,0.049999999999999975]","[0.0,0.0,0.0]","[-0.47200000000000003,-0.029999999999999853,0.049999999999999996]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,2,0d858158bd5fe799ce2a64711e6bab8ab455e20123047c69ef13c8d2f6b13cb4,"[-0.061347888997093064,0.36155599695973917,0.054582265217274106]","[0.0,0.0,0.0]","[-0.09865211100290716,-0.4215559969597391,0.0454177347827259]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,3,24fd31d3054097eae6b1e972550278f895095a40321f77a25cbd7d6770c715bb,"[-0.2540741121414634,-0.3812295595222037,0.040061615355387464]","[0.0,0.0,0.0]","[0.09407411214146345,0.32122955952220367,0.05993838464461254]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,4,3790da6b1aed9c99b4c67c2d2c4ab37af16c1cc254d4c4be0956d958c295dd6a,"[0.16717664549713285,0.2742494140023687,0.05513677391573406]","[0.0,0.0,0.0]","[-0.32717664549713277,-0.33424941400236874,0.04486322608426595]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,5,4973ebd65bf5c9a2830199a51b00a460ac220c12e85a32b7bb8c8a218905d204,"[-0.2971366650355152,0.2963673830168304,0.05400930535406616]","[0.0,0.0,0.0]","[0.1371366650355152,-0.35636738301683035,0.04599069464593385]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,6,5da504b0103fee60d127a07e33fbd66c35003cf0f794b1b85f5f85bdff77a22e,"[0.3049160493269811,-0.10418648778928062,0.04054999181285331]","[0.0,0.0,0.0]","[-0.4649160493269811,0.04418648778928068,0.0594500081871467]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,7,66b96dd60a486e146063604cbd2437835c0906ae0e45bd5225776373ea397239,"[-0.13578741660312782,-0.4180100052173257,0.059898214418809326]","[0.0,0.0,0.0]","[-0.024212583396872135,0.3580100052173256,0.04010178558119068]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,8,75a53b499543bafed813ae1b2b68707ea89364c9720b58322c9c81e29c4edfc2,"[-0.16028421388155478,0.3536905589161933,0.04118546636552419]","[0.0,0.0,0.0]","[0.00028421388155489,-0.4136905589161932,0.05881453363447582]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,9,7bf19d5bbfa9b11b25d33a1488c8d741f5c7b42e389d03887b637c5f439a8d61,"[0.059899398864013784,0.33618596122392186,0.04513803263899531]","[0.0,0.0,0.0]","[-0.21989939886401383,-0.3961859612239218,0.054861967361004696]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,10,92d4018f4207a8e04cfdc88776b8912616bb8285b2bda14b3d04d801509cd29c,"[-0.2082106416204294,-0.40044032093615,0.04810748755639587]","[0.0,0.0,0.0]","[0.048210641620429415,0.34044032093614995,0.05189251244360417]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,11,9fde748565a802e20233a4a4cf474ae35598a89615e54e26b3c8a9d8a07bb7f8,"[-0.35497815598087795,-0.30937611518051433,0.059968547759519424]","[0.0,0.0,0.0]","[0.1949781559808781,0.24937611518051409,0.04003145224048058]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,12,a93d4dc4b77937f7a3422793985a95608837e395e4d2078c2d49cbaac178da17,"[-0.4670760443611466,0.03193654722155316,0.040001258723261254]","[0.0,0.0,0.0]","[0.30707604436114655,-0.09193654722155337,0.05999874127673875]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,13,b435290d116daca26befc618363be29641516a2b207deb644ad58dcdf8fd6cc5,"[0.1473823085519096,-0.3493137732037317,0.05095056043304182]","[0.0,0.0,0.0]","[-0.30738230855190957,0.28931377320373175,0.04904943956695822]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,14,c80c96703f9599fb122064c02fd8701a59be7be43057c365ce2cd8b305134bce,"[-0.4391145153133713,0.12716476987939254,0.058325698546347705]","[0.0,0.0,0.0]","[0.2791145153133714,-0.18716476987939243,0.04167430145365229]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,15,cfff2de3165cf09c51f00709950dbd6702292c8a11b14670cbce346770123f3b,"[0.304916049326981,0.044186487789280804,0.059450008187146686]","[0.0,0.0,0.0]","[-0.46491604932698105,-0.10418648778928083,0.04054999181285332]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E5_STONEHENGE_SAFER,C1_FAILURE_DIAGNOSTIC,16,efbd89b2a73b40006872adbb2b2fc0650e3ee99cc9409721d515c60200eea070,"[-0.03655142563880365,0.35958467806881167,0.05895993774291337]","[0.0,0.0,0.0]","[-0.12344857436119641,-0.4195846780688116,0.04104006225708664]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,1,01aeadade59622e7afcd1c10e9715e32030cf02026456c4aed3d403c69efd0b8,"[0.16840438675652514,0.2816429264469043,-0.06276165028273188]","[0.0,0.0,0.0]","[0.21159561324347484,-0.2616429264469043,0.022761650282731877]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,2,109361dab8f9d2e7187eaa6d9b480caa32019d3f888db481c19fe6316dd7f7ed,"[0.43604748168310425,-0.10711911354429936,0.037830529513596584]","[0.0,0.0,0.0]","[-0.05604748168310422,0.1271191135442994,-0.07783052951359652]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,3,1852257ab75df5333501077e7249e4eacf9e9f7ddd6a045155491720680ebe7b,"[0.2373191284142384,-0.2583601126958267,-0.07908846518073248]","[0.0,0.0,0.0]","[0.14268087158576162,0.2783601126958267,0.039088465180732446]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,4,2a6e0b58bfe92ad72daf3c714eef9573f9da560f21916207dede755ccdd781e6,"[-0.07580461692627344,0.07003462018433237,-0.06774571043184986]","[0.0,0.0,0.0]","[0.4558046169262734,-0.050034620184332405,0.027745710431849983]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,5,45ab4d11c93de51478bccccd88df14b4b634e960d5333e430fcf6852e61ad46e,"[0.4625,0.009999999999999934,-0.020000000000000146]","[0.0,0.0,0.0]","[-0.08250000000000002,0.0100000000000001,-0.02000000000000006]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,6,5645d90fb9888c047509157d4d7a81c7b95fb1d55cb051e063927ca84a3a1f13,"[-0.013084562536643168,0.1916945526406895,-0.07098352579697088]","[0.0,0.0,0.0]","[0.39308456253664315,-0.1716945526406895,0.030983525796970886]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,7,62af2a6f4be5381ebfe775e0b3f3dade5cc3bff17dcb97ffa9a0552425514128,"[0.46195136933858855,-0.007283018106413833,-0.05557447574327826]","[0.0,0.0,0.0]","[-0.08195136933858854,0.02728301810641387,0.015574475743278093]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,8,688c99491da3a1461595120631679c95973e4f90389253553b0f78894b59c226,"[0.08472095324862243,0.26134154514349844,0.02407550251945206]","[0.0,0.0,0.0]","[0.2952790467513775,-0.24134154514349848,-0.06407550251945206]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,9,797ceb3e21e3e52071d0cc03b2aa2a08c7d7b961d6369a87975de8ce8f711d49,"[0.4429802617468798,-0.09127801916743919,0.017089539173236096]","[0.0,0.0,0.0]","[-0.06298026174687993,0.11127801916743899,-0.057089539173235934]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,10,8ad08340c293040823b9137b2f05229ad3aee1cc7ad148d08323b9a6382c0891,"[0.38721752538363163,0.19804653062887556,0.038308694099412496]","[0.0,0.0,0.0]","[-0.007217525383631684,-0.1780465306288755,-0.0783086940994125]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,11,9dcfe25ff9448359939c88bdc62d5e9e47ba284d5864390b0b69a09cfdecb408,"[-0.08236280779941796,0.018645861878223438,-0.03872200674190913]","[0.0,0.0,0.0]","[0.46236280779941796,0.0013541381217765294,-0.001277993258090665]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,12,b3127e019d7c55c8b6bd9f34a44a01bfd69f9237d668cd6b7ef9a0905b832630,"[0.2709108022769549,0.27021086079351014,-0.012404452785575101]","[0.0,0.0,0.0]","[0.10908919772304498,-0.2502108607935101,-0.027595547214424893]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,13,c16bfbe29d69a18fa2272caa0d3a97e7611fb980b404a121be98341597248b48,"[0.16840438675652505,-0.2616429264469043,0.02276165028273199]","[0.0,0.0,0.0]","[0.21159561324347498,0.2816429264469043,-0.06276165028273184]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,14,c7ef8c2e7a399723696be56aa43ba0f632878756eaf236429d217f7a8aa4fcf9,"[0.33366893992386193,0.2415501796612427,-0.06000614003097747]","[0.0,0.0,0.0]","[0.04633106007613799,-0.22155017966124263,0.020006140030977466]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,15,d400e0e39986a5dee174d75e6462e0f482212dcf149ab014781361a8e834ddd8,"[0.03905678259648496,0.23687528538797523,0.004055832124396929]","[0.0,0.0,0.0]","[0.340943217403515,-0.2168752853879752,-0.04405583212439694]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C0_METHOD_INDEPENDENT,16,e56b063a6a9c54ae9a445d72c31399d1ddb7aee22441086688954bab3e426260,"[0.37489381464931854,0.21017624060917786,0.035341257646274854]","[0.0,0.0,0.0]","[0.005106185350681469,-0.19017624060917782,-0.07534125764627485]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,1,01aeadade59622e7afcd1c10e9715e32030cf02026456c4aed3d403c69efd0b8,"[0.16840438675652514,0.2816429264469043,-0.06276165028273188]","[0.0,0.0,0.0]","[0.21159561324347484,-0.2616429264469043,0.022761650282731877]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,2,09ef865ed528a671c50c220cb21c300d9a39d74179470423445cafdbdef72da2,"[-0.0241994683174096,0.17844832374511493,-0.04229974733961962]","[0.0,0.0,0.0]","[0.4041994683174095,-0.15844832374511503,0.0022997473396196323]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,3,161062cebfee5425da5f7df3b7ccabbe6c31fb5f2c6fc7e0086b29c6fbcb2bef,"[-0.04380048010653126,0.14997708920375324,0.02656878785750538]","[0.0,0.0,0.0]","[0.42380048010653126,-0.12997708920375325,-0.06656878785750538]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,4,2a6e0b58bfe92ad72daf3c714eef9573f9da560f21916207dede755ccdd781e6,"[-0.07580461692627344,0.07003462018433237,-0.06774571043184986]","[0.0,0.0,0.0]","[0.4558046169262734,-0.050034620184332405,0.027745710431849983]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
E6_FLIGHT_SAFER,C1_FAILURE_DIAGNOSTIC,5,41a1bd2b4546d99fc1a1a82eb134d29ef3b21ef28fe735d5a248c88397d5de4b,"[-0.03445186843962944,-0.144523812902605,-0.03506887923086478]","[0.0,0.0,0.0]","[0.41445186843962945,0.16452381290260507,-0.004931120769135005]",OFFICIAL_NATIVE_TRIAL_INITIAL_STATE,B0:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE|B2:FAIL_CLOSED_CURRENT_CBF_INFEASIBLE
