cohort,detail,endpoint_map_h,environment,factor,level,precontrol_position_map_h,state_id,status,two_step_endpoint_map_h
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,tracking_error,,,002b6f245470919aaa880323bfdda87cf5e080c8098daa51628f914b81a5ede6,DATA_BLOCKED_NO_FROZEN_TRACKING_ERROR_BUDGET,
C0_METHOD_INDEPENDENT,,0.2600516801524102,E1_REPLICA_GT_FINE,velocity_scale,0.25,,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.26038510716628377,E1_REPLICA_GT_FINE,velocity_scale,0.5,,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.26072156490714943,E1_REPLICA_GT_FINE,velocity_scale,0.75,,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.2610610535437221,E1_REPLICA_GT_FINE,velocity_scale,1.0,,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.26038510716628377,E1_REPLICA_GT_FINE,dt_s,0.025,,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.2610610535437221,E1_REPLICA_GT_FINE,dt_s,0.05,,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.26244932045639896,E1_REPLICA_GT_FINE,dt_s,0.1,,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.2653713898001456,E1_REPLICA_GT_FINE,dt_s,0.2,,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.05,,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,MAP_ENDPOINT_EXPOSURE_ONLY,0.2609788391150649
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.1,,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,MAP_ENDPOINT_EXPOSURE_ONLY,0.260908307029563
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.2,,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,MAP_ENDPOINT_EXPOSURE_ONLY,0.260908307029563
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,0,0.2597212836978313,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,1,0.2610610535437221,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,2,0.26244932045639896,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,tracking_error,,,151a1a74a34a8851dacc7ea099d5f017965f7b711052f65f6c97d24e6b7fb8b0,DATA_BLOCKED_NO_FROZEN_TRACKING_ERROR_BUDGET,
C0_METHOD_INDEPENDENT,,0.26861006331686893,E1_REPLICA_GT_FINE,velocity_scale,0.25,,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.26854135324786704,E1_REPLICA_GT_FINE,velocity_scale,0.5,,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.26847283254023446,E1_REPLICA_GT_FINE,velocity_scale,0.75,,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.2684045011918606,E1_REPLICA_GT_FINE,velocity_scale,1.0,,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.26854135324786704,E1_REPLICA_GT_FINE,dt_s,0.025,,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.2684045011918606,E1_REPLICA_GT_FINE,dt_s,0.05,,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.26813306934889547,E1_REPLICA_GT_FINE,dt_s,0.1,,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.2675992942715065,E1_REPLICA_GT_FINE,dt_s,0.2,,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.05,,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,MAP_ENDPOINT_EXPOSURE_ONLY,0.2683691245864389
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.1,,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,MAP_ENDPOINT_EXPOSURE_ONLY,0.2683474193460356
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.2,,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,MAP_ENDPOINT_EXPOSURE_ONLY,0.2683474193460356
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,0,0.2686789627493553,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,1,0.2684045011918606,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,2,0.26813306934889547,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,tracking_error,,,16fe88262694ace7502b8af046b32807208de36081c7b9899ad12e38ab16a196,DATA_BLOCKED_NO_FROZEN_TRACKING_ERROR_BUDGET,
C0_METHOD_INDEPENDENT,,0.1751232510918892,E1_REPLICA_GT_FINE,velocity_scale,0.25,,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.17510192222316232,E1_REPLICA_GT_FINE,velocity_scale,0.5,,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.17508134441187162,E1_REPLICA_GT_FINE,velocity_scale,0.75,,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.17506151765323094,E1_REPLICA_GT_FINE,velocity_scale,1.0,,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.17510192222316232,E1_REPLICA_GT_FINE,dt_s,0.025,,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.17506151765323094,E1_REPLICA_GT_FINE,dt_s,0.05,,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.17498972105551802,E1_REPLICA_GT_FINE,dt_s,0.1,,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.1748317420200115,E1_REPLICA_GT_FINE,dt_s,0.2,,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.05,,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,MAP_ENDPOINT_EXPOSURE_ONLY,0.17495432063839533
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.1,,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,MAP_ENDPOINT_EXPOSURE_ONLY,0.17485102751961168
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.2,,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,MAP_ENDPOINT_EXPOSURE_ONLY,0.17485102751961168
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,0,0.17514533102301177,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,1,0.17506151765323094,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,2,0.17498972105551802,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,tracking_error,,,2211e7fc233d3f44550a3487042a97d8b30645fc3956b09e879d5faa3cb90649,DATA_BLOCKED_NO_FROZEN_TRACKING_ERROR_BUDGET,
C0_METHOD_INDEPENDENT,,0.16648512270403767,E1_REPLICA_GT_FINE,velocity_scale,0.25,,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.16633463153165884,E1_REPLICA_GT_FINE,velocity_scale,0.5,,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.16618714405170318,E1_REPLICA_GT_FINE,velocity_scale,0.75,,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.1660426601195818,E1_REPLICA_GT_FINE,velocity_scale,1.0,,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.16633463153165884,E1_REPLICA_GT_FINE,dt_s,0.025,,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.1660426601195818,E1_REPLICA_GT_FINE,dt_s,0.05,,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.1654947570712222,E1_REPLICA_GT_FINE,dt_s,0.1,,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.1645430807184842,E1_REPLICA_GT_FINE,dt_s,0.2,,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.05,,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,MAP_ENDPOINT_EXPOSURE_ONLY,0.1660303103046902
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.1,,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,MAP_ENDPOINT_EXPOSURE_ONLY,0.1660303103046902
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.2,,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,MAP_ENDPOINT_EXPOSURE_ONLY,0.1660303103046902
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,0,0.16663861771607572,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,1,0.1660426601195818,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,2,0.1654947570712222,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,tracking_error,,,2cc3321a1b80b9ddf1373cbeb1b7aeeeda1d16896d422ab67107ee95ada3d0c6,DATA_BLOCKED_NO_FROZEN_TRACKING_ERROR_BUDGET,
C0_METHOD_INDEPENDENT,Frozen selected official state has zero velocity; artificial velocity prohibited.,,E1_REPLICA_GT_FINE,velocity_scale,,,3f0ae49f67739aa508d7b7891f8200f17489303e36e3b7c1d1ffb62ab00f4eba,DATA_BLOCKED_OFFICIAL_NONZERO_VELOCITY_ABSENT,
C0_METHOD_INDEPENDENT,,0.2877974344800824,E1_REPLICA_GT_FINE,dt_s,0.025,,3f0ae49f67739aa508d7b7891f8200f17489303e36e3b7c1d1ffb62ab00f4eba,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.2877974344800824,E1_REPLICA_GT_FINE,dt_s,0.05,,3f0ae49f67739aa508d7b7891f8200f17489303e36e3b7c1d1ffb62ab00f4eba,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.2877974344800824,E1_REPLICA_GT_FINE,dt_s,0.1,,3f0ae49f67739aa508d7b7891f8200f17489303e36e3b7c1d1ffb62ab00f4eba,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.2877974344800824,E1_REPLICA_GT_FINE,dt_s,0.2,,3f0ae49f67739aa508d7b7891f8200f17489303e36e3b7c1d1ffb62ab00f4eba,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.05,,3f0ae49f67739aa508d7b7891f8200f17489303e36e3b7c1d1ffb62ab00f4eba,MAP_ENDPOINT_EXPOSURE_ONLY,0.2877970408198296
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.1,,3f0ae49f67739aa508d7b7891f8200f17489303e36e3b7c1d1ffb62ab00f4eba,MAP_ENDPOINT_EXPOSURE_ONLY,0.2877967080656428
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.2,,3f0ae49f67739aa508d7b7891f8200f17489303e36e3b7c1d1ffb62ab00f4eba,MAP_ENDPOINT_EXPOSURE_ONLY,0.2877967080656428
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,0,0.2877974344800824,3f0ae49f67739aa508d7b7891f8200f17489303e36e3b7c1d1ffb62ab00f4eba,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,1,0.2877974344800824,3f0ae49f67739aa508d7b7891f8200f17489303e36e3b7c1d1ffb62ab00f4eba,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,2,0.2877974344800824,3f0ae49f67739aa508d7b7891f8200f17489303e36e3b7c1d1ffb62ab00f4eba,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,tracking_error,,,3f0ae49f67739aa508d7b7891f8200f17489303e36e3b7c1d1ffb62ab00f4eba,DATA_BLOCKED_NO_FROZEN_TRACKING_ERROR_BUDGET,
C0_METHOD_INDEPENDENT,Frozen selected official state has zero velocity; artificial velocity prohibited.,,E1_REPLICA_GT_FINE,velocity_scale,,,4f8493fd890064bef32029677a254723ccba9383aed01981ce69df51b517af7b,DATA_BLOCKED_OFFICIAL_NONZERO_VELOCITY_ABSENT,
C0_METHOD_INDEPENDENT,,1.5373572382725613,E1_REPLICA_GT_FINE,dt_s,0.025,,4f8493fd890064bef32029677a254723ccba9383aed01981ce69df51b517af7b,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,1.5373572382725613,E1_REPLICA_GT_FINE,dt_s,0.05,,4f8493fd890064bef32029677a254723ccba9383aed01981ce69df51b517af7b,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,1.5373572382725613,E1_REPLICA_GT_FINE,dt_s,0.1,,4f8493fd890064bef32029677a254723ccba9383aed01981ce69df51b517af7b,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,1.5373572382725613,E1_REPLICA_GT_FINE,dt_s,0.2,,4f8493fd890064bef32029677a254723ccba9383aed01981ce69df51b517af7b,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.05,,4f8493fd890064bef32029677a254723ccba9383aed01981ce69df51b517af7b,MAP_ENDPOINT_EXPOSURE_ONLY,1.5370473897497698
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.1,,4f8493fd890064bef32029677a254723ccba9383aed01981ce69df51b517af7b,MAP_ENDPOINT_EXPOSURE_ONLY,1.5367379438406674
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.2,,4f8493fd890064bef32029677a254723ccba9383aed01981ce69df51b517af7b,MAP_ENDPOINT_EXPOSURE_ONLY,1.5367379438406674
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,0,1.5373572382725613,4f8493fd890064bef32029677a254723ccba9383aed01981ce69df51b517af7b,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,1,1.5373572382725613,4f8493fd890064bef32029677a254723ccba9383aed01981ce69df51b517af7b,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,2,1.5373572382725613,4f8493fd890064bef32029677a254723ccba9383aed01981ce69df51b517af7b,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,tracking_error,,,4f8493fd890064bef32029677a254723ccba9383aed01981ce69df51b517af7b,DATA_BLOCKED_NO_FROZEN_TRACKING_ERROR_BUDGET,
C0_METHOD_INDEPENDENT,,0.04586972279718015,E1_REPLICA_GT_FINE,velocity_scale,0.25,,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.04616701645202107,E1_REPLICA_GT_FINE,velocity_scale,0.5,,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.04646600094072222,E1_REPLICA_GT_FINE,velocity_scale,0.75,,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.04676667674120911,E1_REPLICA_GT_FINE,velocity_scale,1.0,,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.04616701645202107,E1_REPLICA_GT_FINE,dt_s,0.025,,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.04676667674120911,E1_REPLICA_GT_FINE,dt_s,0.05,,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.04798630251168982,E1_REPLICA_GT_FINE,dt_s,0.1,,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,0.05021419973754394,E1_REPLICA_GT_FINE,dt_s,0.2,,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.05,,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,MAP_ENDPOINT_EXPOSURE_ONLY,0.04678417220832172
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.1,,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,MAP_ENDPOINT_EXPOSURE_ONLY,0.04677803013576151
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,u_bound_inf,0.2,,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,MAP_ENDPOINT_EXPOSURE_ONLY,0.04677803013576151
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,0,0.045574119495190316,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,1,0.04676667674120911,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,MAP_ENDPOINT_EXPOSURE_ONLY,
C0_METHOD_INDEPENDENT,,,E1_REPLICA_GT_FINE,latency_cycles,2,0.04798630251168982,5955840c212b4074ad46d065de442f1d835a0cd5be2975bee15ed83cf50eb0d0,MAP_ENDPOINT_EXPOSURE_ONLY,
