frame_index,shape,finite,rotation_orthogonality_error,rotation_determinant_error,bottom_row_error,inverse_consistency_error,translation_x,translation_y,translation_z
48,4x4,True,3.3306690738754696e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.4737,-0.4774,1.569
49,4x4,True,5.551115123125783e-16,4.440892098500626e-16,0.0,1.6653345369377348e-16,0.5571,-0.472,1.5394
50,4x4,True,2.220446049250313e-16,4.440892098500626e-16,0.0,1.6653345369377348e-16,0.6562,-0.4497,1.5004
51,4x4,True,4.440892098500626e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,0.7411,-0.4192,1.4705
52,4x4,True,5.551115123125783e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,0.8528,-0.3681,1.4501
53,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,0.929,-0.3305,1.4526
54,4x4,True,2.220446049250313e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,1.0133,-0.2812,1.46
55,4x4,True,4.440892098500626e-16,2.220446049250313e-16,0.0,1.3522418200316568e-16,1.0674,-0.2381,1.4566
56,4x4,True,4.440892098500626e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,1.1384,-0.1832,1.446
57,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,4.440892098500626e-16,1.2016,-0.1482,1.4446
58,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,6.661338147750939e-16,1.2895,-0.1067,1.4604
59,4x4,True,3.3306690738754696e-16,2.220446049250313e-16,0.0,6.661338147750939e-16,1.3565,-0.0527,1.4914
60,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,1.3834,0.0063,1.5092
61,4x4,True,4.440892098500626e-16,6.661338147750939e-16,0.0,4.440892098500626e-16,1.3858,0.0797,1.5177
62,4x4,True,2.220446049250313e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,1.373,0.1447,1.5106
63,4x4,True,8.881784197001252e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,1.3471,0.2169,1.5017
64,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,1.324,0.2695,1.5019
65,4x4,True,3.3306690738754696e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,1.3007,0.316,1.5166
66,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.2921,0.3564,1.5322
67,4x4,True,1.2309549948097448e-16,0.0,0.0,2.220446049250313e-16,1.29,0.401,1.556
68,4x4,True,3.3306690738754696e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,1.2924,0.458,1.5848
69,4x4,True,2.220446049250313e-16,3.3306690738754696e-16,0.0,3.3306690738754696e-16,1.296,0.4987,1.6016
70,4x4,True,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,1.3084,0.5449,1.6239
71,4x4,True,4.440892098500626e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.3192,0.5771,1.6387
72,4x4,True,4.440892098500626e-16,3.3306690738754696e-16,0.0,1.1102230246251565e-16,1.3376,0.6201,1.6489
73,4x4,True,6.661338147750939e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,1.348,0.6538,1.6485
74,4x4,True,5.551115123125783e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,1.35,0.6953,1.644
75,4x4,True,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,1.3429,0.7229,1.6421
76,4x4,True,4.440892098500626e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,1.3259,0.7468,1.6409
77,4x4,True,3.3306690738754696e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,1.3131,0.7598,1.6312
78,4x4,True,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,1.3031,0.772,1.6164
79,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,1.3049,0.7749,1.6066
80,4x4,True,4.440892098500626e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,1.313,0.7702,1.6043
81,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.3282,0.7589,1.6008
82,4x4,True,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,1.34,0.747,1.5998
83,4x4,True,2.220446049250313e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,1.3549,0.7228,1.5944
84,4x4,True,9.644722522358007e-17,0.0,0.0,2.220446049250313e-16,1.3665,0.6914,1.5956
85,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.3708,0.6311,1.6093
86,4x4,True,4.440892098500626e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.3663,0.5749,1.6164
87,4x4,True,3.3306690738754696e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,1.3499,0.4976,1.6173
88,4x4,True,6.661338147750939e-16,6.661338147750939e-16,0.0,5.551115123125783e-17,1.3396,0.423,1.6107
89,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.3295,0.3616,1.6051
90,4x4,True,2.220446049250313e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,1.311,0.292,1.6007
91,4x4,True,2.220446049250313e-16,0.0,0.0,1.8743138971945845e-16,1.2904,0.2406,1.6008
92,4x4,True,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,1.2756,0.1892,1.5961
93,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.395742652985292e-16,1.2644,0.1469,1.5831
94,4x4,True,2.220446049250313e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,1.2424,0.1015,1.563
95,4x4,True,2.220446049250313e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,1.221,0.0638,1.5518
96,4x4,True,6.661338147750939e-16,7.771561172376096e-16,0.0,2.220446049250313e-16,1.1938,0.0196,1.5361
97,4x4,True,6.661338147750939e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,1.1719,-0.0378,1.5097
98,4x4,True,2.220446049250313e-16,0.0,0.0,3.191891195797325e-16,1.1684,-0.0894,1.4942
99,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,3.0531133177191805e-16,1.1751,-0.1517,1.4707
100,4x4,True,7.771561172376096e-16,6.661338147750939e-16,0.0,2.3091624092050167e-16,1.1811,-0.1995,1.4525
101,4x4,True,4.440892098500626e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.1766,-0.2677,1.4363
102,4x4,True,1.4104420376510405e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,1.166,-0.325,1.4299
103,4x4,True,1.818235584323059e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,1.1473,-0.4019,1.4311
104,4x4,True,3.3306690738754696e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,1.1282,-0.4512,1.4413
105,4x4,True,3.3306690738754696e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.1028,-0.4973,1.4517
106,4x4,True,4.440892098500626e-16,6.661338147750939e-16,0.0,1.1102230246251565e-16,1.0876,-0.5222,1.4499
107,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,1.0676,-0.5538,1.4353
108,4x4,True,3.3306690738754696e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,1.0437,-0.5843,1.4081
109,4x4,True,4.440892098500626e-16,6.661338147750939e-16,0.0,1.1102230246251565e-16,1.0266,-0.6127,1.3823
110,4x4,True,5.551115123125783e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,1.0043,-0.6571,1.3493
111,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,1.118759976559249e-16,0.9868,-0.6867,1.328
112,4x4,True,2.220446049250313e-16,0.0,0.0,3.3306690738754696e-16,0.9666,-0.7298,1.3048
113,4x4,True,3.3306690738754696e-16,4.440892098500626e-16,0.0,1.1102230246251565e-16,0.9521,-0.7774,1.2933
114,4x4,True,6.661338147750939e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,0.9298,-0.8528,1.285
115,4x4,True,1.0751082973135608e-16,0.0,0.0,1.1102230246251565e-16,0.9126,-0.9084,1.2834
116,4x4,True,4.440892098500626e-16,5.551115123125783e-16,0.0,1.1102230246251565e-16,0.8884,-0.9701,1.2869
117,4x4,True,6.661338147750939e-16,6.661338147750939e-16,0.0,1.8679543348623184e-16,0.8635,-1.0152,1.3
118,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,1.1102230246251565e-16,0.8443,-1.0409,1.3211
119,4x4,True,5.551115123125783e-16,6.661338147750939e-16,0.0,4.440892098500626e-16,0.8318,-1.0553,1.3576
120,4x4,True,2.454749516151851e-16,0.0,0.0,2.220446049250313e-16,0.825,-1.0586,1.3962
121,4x4,True,5.551115123125783e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,0.818,-1.0567,1.4472
122,4x4,True,1.1102230246251565e-16,0.0,0.0,4.440892098500626e-16,0.8159,-1.0474,1.4972
123,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,0.8203,-1.0226,1.5495
124,4x4,True,3.3306690738754696e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.8274,-0.99,1.586
125,4x4,True,7.771561172376096e-16,5.551115123125783e-16,0.0,2.220446049250313e-16,0.8361,-0.9462,1.6192
126,4x4,True,1.3322676295501878e-15,1.2212453270876722e-15,0.0,2.220446049250313e-16,0.8392,-0.9078,1.645
127,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,1.1102230246251565e-16,0.8274,-0.8904,1.6565
128,4x4,True,1.1102230246251565e-16,0.0,0.0,2.220446049250313e-16,0.7938,-0.8856,1.6541
129,4x4,True,1.3322676295501878e-15,1.4432899320127035e-15,0.0,2.220446049250313e-16,0.757,-0.8902,1.6448
130,4x4,True,1.3322676295501878e-15,9.992007221626409e-16,0.0,2.220446049250313e-16,0.7077,-0.8963,1.6276
131,4x4,True,1.5841037073589006e-16,0.0,0.0,1.1102230246251565e-16,0.6796,-0.8979,1.6059
132,4x4,True,5.551115123125783e-16,5.551115123125783e-16,0.0,2.220446049250313e-16,0.6509,-0.8936,1.5656
133,4x4,True,8.881784197001252e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,0.6308,-0.8866,1.5361
134,4x4,True,1.6653345369377348e-15,1.6653345369377348e-15,0.0,2.220446049250313e-16,0.6069,-0.8841,1.4983
135,4x4,True,9.992007221626409e-16,8.881784197001252e-16,0.0,1.1102230246251565e-16,0.5912,-0.8865,1.4721
136,4x4,True,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.5797,-0.8975,1.4412
137,4x4,True,5.551115123125783e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,0.5822,-0.9229,1.4161
138,4x4,True,1.1102230246251565e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,0.5983,-0.9485,1.3992
139,4x4,True,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.6236,-0.9863,1.3687
140,4x4,True,6.661338147750939e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,0.6385,-1.013,1.3469
141,4x4,True,8.881784197001252e-16,8.881784197001252e-16,0.0,3.3306690738754696e-16,0.6533,-1.0531,1.329
142,4x4,True,6.661338147750939e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,0.6603,-1.0907,1.3271
143,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.6626,-1.1449,1.3336
144,4x4,True,4.440892098500626e-16,5.551115123125783e-16,0.0,2.220446049250313e-16,0.6659,-1.1855,1.3424
145,4x4,True,7.771561172376096e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,0.6747,-1.2313,1.3626
146,4x4,True,2.220446049250313e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,0.6872,-1.273,1.3832
147,4x4,True,2.220446049250313e-16,0.0,0.0,1.1102230246251565e-16,0.6976,-1.3089,1.3911
148,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.6998,-1.3396,1.3891
149,4x4,True,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.6931,-1.3491,1.385
150,4x4,True,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.6811,-1.3471,1.3778
151,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.668,-1.3354,1.3703
152,4x4,True,3.3306690738754696e-16,4.440892098500626e-16,0.0,1.1102230246251565e-16,0.6519,-1.3093,1.3576
153,4x4,True,7.771561172376096e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,0.6416,-1.2773,1.3427
154,4x4,True,1.0352068699156428e-16,0.0,0.0,3.3306690738754696e-16,0.6316,-1.2298,1.3241
155,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.6164,-1.1677,1.3119
156,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,0.5971,-1.1134,1.3114
157,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.5619,-1.0504,1.3215
158,4x4,True,9.992007221626409e-16,7.771561172376096e-16,0.0,2.220446049250313e-16,0.525,-0.9966,1.3352
159,4x4,True,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.4744,-0.9347,1.3532
160,4x4,True,6.661338147750939e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,0.4252,-0.8817,1.3763
161,4x4,True,5.551115123125783e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,0.3649,-0.838,1.4051
162,4x4,True,4.440892098500626e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,0.3147,-0.812,1.4285
163,4x4,True,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.2569,-0.7882,1.46
164,4x4,True,5.551115123125783e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,0.1973,-0.7659,1.5032
165,4x4,True,6.661338147750939e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,0.1559,-0.7462,1.5368
166,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,0.1086,-0.7285,1.5721
167,4x4,True,2.220446049250313e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,0.074,-0.7211,1.595
168,4x4,True,4.440892098500626e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,0.0301,-0.7082,1.6161
169,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-0.0018,-0.6918,1.628
170,4x4,True,6.661338147750939e-16,8.881784197001252e-16,0.0,2.636779683484747e-16,-0.0471,-0.6711,1.6321
171,4x4,True,6.661338147750939e-16,8.881784197001252e-16,0.0,1.2127204765536317e-16,-0.0899,-0.6585,1.6259
172,4x4,True,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.3877787807814457e-16,-0.1652,-0.6385,1.6022
173,4x4,True,2.220446049250313e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,-0.2318,-0.6229,1.5781
174,4x4,True,4.440892098500626e-16,5.551115123125783e-16,0.0,2.220446049250313e-16,-0.3096,-0.6059,1.5502
175,4x4,True,6.661338147750939e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,-0.3688,-0.5988,1.5104
176,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-0.4002,-0.5989,1.4784
177,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,-0.437,-0.5998,1.4271
178,4x4,True,1.1102230246251565e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,-0.4677,-0.5964,1.3933
179,4x4,True,2.220446049250313e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,-0.5157,-0.5878,1.3592
180,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-0.5527,-0.5776,1.3354
181,4x4,True,5.551115123125783e-16,3.3306690738754696e-16,0.0,1.1102230246251565e-16,-0.5926,-0.554,1.3071
182,4x4,True,4.440892098500626e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,-0.6132,-0.5357,1.2963
183,4x4,True,4.440892098500626e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,-0.6289,-0.5135,1.3002
184,4x4,True,2.525373734085084e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,-0.6307,-0.4949,1.3252
185,4x4,True,4.440892098500626e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,-0.6211,-0.4799,1.3607
186,4x4,True,6.661338147750939e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,-0.6046,-0.4658,1.4058
187,4x4,True,3.3306690738754696e-16,3.3306690738754696e-16,0.0,2.220446049250313e-16,-0.5878,-0.4555,1.4427
188,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,-0.5679,-0.4458,1.4833
189,4x4,True,6.661338147750939e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,-0.5492,-0.436,1.5175
190,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-0.5261,-0.4179,1.5503
191,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-0.5079,-0.3957,1.5687
192,4x4,True,2.220446049250313e-16,4.440892098500626e-16,0.0,5.551115123125783e-17,-0.4984,-0.3636,1.5771
193,4x4,True,4.440892098500626e-16,3.3306690738754696e-16,0.0,1.1102230246251565e-16,-0.5147,-0.3336,1.5726
194,4x4,True,2.220446049250313e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,-0.5385,-0.3171,1.5695
195,4x4,True,7.771561172376096e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,-0.5808,-0.2994,1.5557
196,4x4,True,4.440892098500626e-16,6.661338147750939e-16,0.0,2.220446049250313e-16,-0.6139,-0.2867,1.5348
197,4x4,True,6.661338147750939e-16,6.661338147750939e-16,0.0,1.1102230246251565e-16,-0.6503,-0.2689,1.5125
198,4x4,True,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,-0.6742,-0.247,1.4965
199,4x4,True,1.1102230246251565e-16,1.1102230246251565e-16,0.0,5.551115123125783e-17,-0.7125,-0.2033,1.4626
200,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,1.1102230246251565e-16,-0.7475,-0.1594,1.4358
201,4x4,True,9.992007221626409e-16,9.992007221626409e-16,0.0,2.220446049250313e-16,-0.7959,-0.0911,1.4074
202,4x4,True,6.661338147750939e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,-0.8304,-0.0355,1.3954
203,4x4,True,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,-0.8668,0.0288,1.3821
204,4x4,True,4.440892098500626e-16,3.3306690738754696e-16,0.0,1.1102230246251565e-16,-0.905,0.0824,1.3652
205,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,1.1102230246251565e-16,-0.9471,0.1202,1.3478
206,4x4,True,4.440892098500626e-16,2.220446049250313e-16,0.0,4.440892098500626e-16,-1.0108,0.1657,1.3248
207,4x4,True,6.661338147750939e-16,5.551115123125783e-16,0.0,2.220446049250313e-16,-1.0617,0.1969,1.2998
208,4x4,True,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,-1.1093,0.2336,1.2598
209,4x4,True,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,-1.1329,0.2618,1.2369
210,4x4,True,2.220446049250313e-16,3.3306690738754696e-16,0.0,1.3233452807909638e-16,-1.1489,0.3041,1.2176
211,4x4,True,4.440892098500626e-16,4.440892098500626e-16,0.0,2.7755575615628914e-16,-1.1556,0.3414,1.2034
212,4x4,True,8.881784197001252e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,-1.1553,0.3901,1.1904
213,4x4,True,6.661338147750939e-16,6.661338147750939e-16,0.0,4.8943485984633824e-17,-1.1435,0.4361,1.1905
214,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,1.2883496469473458e-16,-1.1169,0.4784,1.2025
215,4x4,True,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,-1.075,0.5289,1.2384
216,4x4,True,9.992007221626409e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,-1.041,0.5633,1.278
217,4x4,True,5.551115123125783e-16,4.440892098500626e-16,0.0,2.220446049250313e-16,-1.0078,0.5909,1.3266
218,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-0.9923,0.6087,1.3677
219,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-0.9831,0.6289,1.4153
220,4x4,True,1.1102230246251565e-16,1.1102230246251565e-16,0.0,2.220446049250313e-16,-0.9768,0.6337,1.4431
221,4x4,True,3.3306690738754696e-16,2.220446049250313e-16,0.0,1.1102230246251565e-16,-0.9703,0.6217,1.4634
222,4x4,True,7.771561172376096e-16,7.771561172376096e-16,0.0,2.220446049250313e-16,-0.959,0.6003,1.4772
223,4x4,True,1.1102230246251565e-16,1.1102230246251565e-16,0.0,3.3306690738754696e-16,-0.9454,0.5736,1.4841
224,4x4,True,8.881784197001252e-16,8.881784197001252e-16,0.0,1.1106495217564729e-16,-0.9281,0.548,1.4848
225,4x4,True,2.220446049250313e-16,2.220446049250313e-16,0.0,3.3306690738754696e-16,-0.91,0.5303,1.4824
226,4x4,True,2.220446049250313e-16,0.0,0.0,1.1102230246251565e-16,-0.8863,0.5102,1.4876
227,4x4,True,4.440892098500626e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,-0.8663,0.4927,1.5031
228,4x4,True,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,-0.8386,0.4735,1.5188
