trial,cohort,order,start_goal_source,seed,result_family
67,official100,67,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
68,official100,68,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
69,official100,69,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
70,official100,70,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
71,official100,71,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
72,official100,72,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
73,official100,73,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
74,official100,74,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
75,official100,75,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
76,official100,76,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
77,official100,77,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
78,official100,78,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
79,official100,79,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
80,official100,80,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
81,official100,81,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
82,official100,82,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
83,official100,83,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
84,official100,84,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
85,official100,85,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
86,official100,86,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
87,official100,87,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
88,official100,88,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
89,official100,89,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
90,official100,90,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
91,official100,91,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
92,official100,92,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
93,official100,93,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
94,official100,94,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
95,official100,95,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
96,official100,96,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
97,official100,97,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
98,official100,98,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
99,official100,99,unresolved_exact_file,unresolved,original_or_post_repair_must_be_labeled
