relative_path,size,sha256,retention
raw_runs/pilot_c_trial050/instrumentation/step_capture_log.jsonl,94780,e820c233504787ef41a68cf6cef9f863fe823dedd1bc517919709f139f34d9fd,SERVER_ONLY_RAW
raw_runs/pilot_c_trial050/primary_trace.json,83161,cc80bb54a8cb3e0b089e1221728a2a382172de24fdbde07af1e4e022d82c8aa1,SERVER_ONLY_RAW
raw_runs/pilot_c_trial050/run_metadata.json,811,4b52102de951f1977e66056e13f94aa86aae79006ccd81989b359ca9ed97f69e,SERVER_ONLY_RAW
raw_runs/pilot_c_trial050/trajs/stonehenge_ball-to-ellipsoid.json,34028,ab8463a2a40b240f27e546ebaa42bdfb0e27cfd19beef4797cbba18595e1c744,SERVER_ONLY_RAW
raw_runs/pilot_c_trial070/arm_activation.json,927,430cb4a592e5f03c7cf485dd129e99b2f53201be1010bcf4bbf263e3f190a797,SERVER_ONLY_RAW
raw_runs/pilot_c_trial070/environment_identity.json,1128,0d167469ea132256c2ce7ad7e950813f09c07071829da3c15b426513dd2525f3,SERVER_ONLY_RAW
raw_runs/pilot_c_trial070/instrumentation/instrumentation_health_log.jsonl,69092,f83564f21527c91bb0823c1723fbbac5c310d3b91e889ac8934dff2d2f2480ba,SERVER_ONLY_RAW
raw_runs/pilot_c_trial070/instrumentation/map_authority_manifest.json,983,7c19db927e0a59f20cbd1edb905076e75f12562e341d6ec56d291423a356f586,SERVER_ONLY_RAW
raw_runs/pilot_c_trial070/instrumentation/shadow_certificate_result_log.jsonl,194188,41358356f895698a05aab057cb29ada69bd39a5e933a179d759b751d9c491863,SERVER_ONLY_RAW
raw_runs/pilot_c_trial070/instrumentation/step_capture_log.jsonl,360243,fd446f787dca745a994aec2e9a6a1b749a89335cf88dd8389b54fca578ba10f2,SERVER_ONLY_RAW
raw_runs/pilot_c_trial070/primary_trace.json,314553,3b8e2646d32ce975b02a4d27f675efcd8d2cc93dbaf3fe1cbb04b6360f8bb63b,SERVER_ONLY_RAW
raw_runs/pilot_c_trial070/run_metadata.json,812,d372d2aeb140242f9bcf1c5d0e35a784b7843891895ab6b93d3b10f068cd3e6b,SERVER_ONLY_RAW
raw_runs/pilot_c_trial070/trajs/stonehenge_ball-to-ellipsoid.json,126635,272c94ac835e46b381c047e1b27b7dd3f31329dab986808410a59ba3951f0e72,SERVER_ONLY_RAW
raw_runs/pilot_c_trial090/arm_activation.json,927,55cc85d4cba61687b8090190ac9ca47614683cbfa088bc062619c85f30317d8b,SERVER_ONLY_RAW
raw_runs/pilot_c_trial090/environment_identity.json,1128,d90dfa75dd37c78a475365462566bd1b62d8d8dec02e06b1c521a267c235a243,SERVER_ONLY_RAW
raw_runs/pilot_c_trial090/instrumentation/instrumentation_health_log.jsonl,110132,18e695f837f0b6904e8d7b70ecb6c31e48515b3aa70dbd9d638116f335ba6ac6,SERVER_ONLY_RAW
raw_runs/pilot_c_trial090/instrumentation/map_authority_manifest.json,983,7c19db927e0a59f20cbd1edb905076e75f12562e341d6ec56d291423a356f586,SERVER_ONLY_RAW
raw_runs/pilot_c_trial090/instrumentation/shadow_certificate_result_log.jsonl,309298,37f628a64a9b9667c03a46697c6cb808eeaa41a7a2dfd038ed77d7a7b77fe57b,SERVER_ONLY_RAW
raw_runs/pilot_c_trial090/instrumentation/step_capture_log.jsonl,574330,54ca95271dc92befd431ed464d8e20af0adeaf801c8c3b561e26f7d86d6d2838,SERVER_ONLY_RAW
raw_runs/pilot_c_trial090/primary_trace.json,501440,ae40d2c411daf1237dccb43fcef85bdf5d54565febd5cec178812608207431ab,SERVER_ONLY_RAW
raw_runs/pilot_c_trial090/run_metadata.json,812,bd0fc5918f6ad3ad0598a445d9208e3a3e610784af73c593aa8c081adb2ddadc,SERVER_ONLY_RAW
raw_runs/pilot_c_trial090/trajs/stonehenge_ball-to-ellipsoid.json,201359,cd98288df1541b13d5ce57e55e44580f7cabb91d3b649f2504f6a6e0b08b21af,SERVER_ONLY_RAW
